gene,pathway_id,pathway_name,pmids,source_url
ATM,R-SSC-349425,Autodegradation of the E3 ubiquitin ligase COP1,,https://reactome.org/content/detail/R-SSC-349425
TP53,R-SSC-349425,Autodegradation of the E3 ubiquitin ligase COP1,,https://reactome.org/content/detail/R-SSC-349425
PIK3CA,R-SSC-2424491,DAP12 signaling,,https://reactome.org/content/detail/R-SSC-2424491
KRAS,R-SSC-2424491,DAP12 signaling,,https://reactome.org/content/detail/R-SSC-2424491
PIK3CA,R-SSC-2172127,DAP12 interactions,,https://reactome.org/content/detail/R-SSC-2172127
KRAS,R-SSC-2172127,DAP12 interactions,,https://reactome.org/content/detail/R-SSC-2172127
PARP1,R-HSA-170834,Signaling by TGF-beta Receptor Complex,19648010,https://reactome.org/content/detail/R-HSA-170834
MYC,R-HSA-170834,Signaling by TGF-beta Receptor Complex,19648010,https://reactome.org/content/detail/R-HSA-170834
AURKA,R-XTR-8854521,Interaction between PHLDA1 and AURKA,,https://reactome.org/content/detail/R-XTR-8854521
TP53,R-XTR-8941855,RUNX3 regulates CDKN1A transcription,,https://reactome.org/content/detail/R-XTR-8941855
EGFR,R-HSA-8857538,PTK6 promotes HIF1A stabilization,26751287,https://reactome.org/content/detail/R-HSA-8857538
WEE1,R-HSA-69478,G2/M DNA replication checkpoint,,https://reactome.org/content/detail/R-HSA-69478
MYC,R-HSA-9818749,Regulation of NFE2L2 gene expression,,https://reactome.org/content/detail/R-HSA-9818749
PIK3CA,R-HSA-9842640,Signaling by LTK in cancer,22347506; 15753374; 34819663,https://reactome.org/content/detail/R-HSA-9842640
PIK3CA,R-MMU-186763,Downstream signal transduction,,https://reactome.org/content/detail/R-MMU-186763
KRAS,R-MMU-186763,Downstream signal transduction,,https://reactome.org/content/detail/R-MMU-186763
PIK3CA,R-HSA-190236,Signaling by FGFR,15863030; 15567848; 12080084; 15863038; 16597617; 7917292; 20602996; 19247306,https://reactome.org/content/detail/R-HSA-190236
