gene,pathway_id,pathway_name,pmids,source_url
KRAS,R-BTA-1169092,Activation of RAS in B cells,,https://reactome.org/content/detail/R-BTA-1169092
EGFR,R-RNO-8857538,PTK6 promotes HIF1A stabilization,,https://reactome.org/content/detail/R-RNO-8857538
KRAS,R-RNO-1169092,Activation of RAS in B cells,,https://reactome.org/content/detail/R-RNO-1169092
ATR,R-HSA-5339562,Uptake and actions of bacterial toxins,20358680,https://reactome.org/content/detail/R-HSA-5339562
MDM2,R-HSA-9634815,Transcriptional Regulation by NPAS4,33335473; 26987258; 24855953; 29915698; 29227584; 29298418; 26635026; 24024041; 14701734; 18815592; 22194569; 29429933; 19680447; 34418347; 26690124,https://reactome.org/content/detail/R-HSA-9634815
CHK1,R-GGA-69481,G2/M Checkpoints,,https://reactome.org/content/detail/R-GGA-69481
ATM,R-GGA-69481,G2/M Checkpoints,,https://reactome.org/content/detail/R-GGA-69481
ATR,R-GGA-69481,G2/M Checkpoints,,https://reactome.org/content/detail/R-GGA-69481
PIK3CA,R-DRE-5654708,Downstream signaling of activated FGFR3,,https://reactome.org/content/detail/R-DRE-5654708
KRAS,R-DRE-5654708,Downstream signaling of activated FGFR3,,https://reactome.org/content/detail/R-DRE-5654708
PIK3CA,R-DRE-186763,Downstream signal transduction,,https://reactome.org/content/detail/R-DRE-186763
KRAS,R-DRE-186763,Downstream signal transduction,,https://reactome.org/content/detail/R-DRE-186763
ATM,R-BTA-349425,Autodegradation of the E3 ubiquitin ligase COP1,,https://reactome.org/content/detail/R-BTA-349425
TP53,R-BTA-349425,Autodegradation of the E3 ubiquitin ligase COP1,,https://reactome.org/content/detail/R-BTA-349425
ATM,R-RNO-349425,Autodegradation of the E3 ubiquitin ligase COP1,,https://reactome.org/content/detail/R-RNO-349425
TP53,R-RNO-349425,Autodegradation of the E3 ubiquitin ligase COP1,,https://reactome.org/content/detail/R-RNO-349425
ATM,R-RNO-6806003,Regulation of TP53 Expression and Degradation,,https://reactome.org/content/detail/R-RNO-6806003
TP53,R-RNO-6806003,Regulation of TP53 Expression and Degradation,,https://reactome.org/content/detail/R-RNO-6806003
ATM,R-RNO-6804757,Regulation of TP53 Degradation,,https://reactome.org/content/detail/R-RNO-6804757
TP53,R-RNO-6804757,Regulation of TP53 Degradation,,https://reactome.org/content/detail/R-RNO-6804757
ATM,R-SSC-5685938,HDR through Single Strand Annealing (SSA),,https://reactome.org/content/detail/R-SSC-5685938
ATR,R-SSC-5685938,HDR through Single Strand Annealing (SSA),,https://reactome.org/content/detail/R-SSC-5685938
